JockeyId,LastOff,JockeyNumberOfPriorRaces,JockeyWinPercentage,JockeyTop3Percentage,JockeyAvgRelFinishingPosition
102714,2024-01-15 13:25:00,2.0,0.0,0.0,0.3870192307692307
102716,2024-10-21 13:12:00,4.0,0.0,0.25,0.44306632990558664
102717,2024-08-31 16:15:00,5.0,0.2,0.2,0.17600718432764334
102719,2024-06-29 19:14:00,2.0,0.0,0.0,1.0
102721,2023-11-21 15:55:00,2.0,0.0,0.0,0.6527777777777778
102723,2024-10-25 14:51:00,91.0,0.13186813186813182,0.3406593406593406,0.22541866338642308
102724,2024-05-18 17:43:00,1.0,0.0,0.0,0.7
102726,2024-10-16 17:20:00,13.0,0.07692307692307689,0.07692307692307689,0.5362270620177688
102731,2024-09-06 19:20:00,8.0,0.0,0.12499999999999994,0.4474802890523798
102735,2024-07-06 23:04:00,1.0,0.0,0.0,1.0
102737,2024-09-29 22:50:00,5.0,0.0,0.2,0.4162626262626262
102738,2024-10-12 22:09:00,18.0,0.27777777777777773,0.33333333333333326,0.32086917711917706
102740,2024-05-18 18:28:00,1.0,0.0,0.0,0.875
102743,2024-10-12 16:40:00,6.0,0.0,0.3333333333333333,0.09628791317592537
102744,2024-10-12 16:50:00,1.0,0.0,0.0,0.875
102746,2024-10-24 17:10:00,5.0,0.0,0.4,0.15622266321887462
102758,2024-10-24 13:47:00,20.0,0.0,0.1999999999999999,0.2905473549535652
102765,2024-09-17 17:50:00,14.0,0.2857142857142857,0.7142857142857143,0.40589569160997735
102766,2024-10-19 17:25:00,5.0,0.0,0.0,0.5559810487521712
102773,2024-10-04 14:12:00,27.0,0.14814814814814806,0.2962962962962963,0.39422350097339726
102775,2024-10-09 15:21:00,10.0,0.0,0.1,0.43928079904598694
102776,2024-05-11 14:15:00,5.0,0.0,0.2,0.786173956762192
102777,2024-10-24 19:00:00,56.0,0.0714285714285714,0.2142857142857142,0.34024630013888746
102778,2024-05-29 16:28:00,2.0,0.0,0.5,0.7083333333333333
102785,2024-08-15 20:20:00,2.0,0.0,0.0,0.021706539074960094
102787,2024-07-29 20:15:00,7.0,0.0,0.28571428571428564,0.4061625063248439
102788,2024-07-18 19:42:00,1.0,0.0,0.0,0.7272727272727273
102789,2024-10-12 14:50:00,23.0,0.04347826086956517,0.08695652173913042,0.4900393998553678
102798,2024-09-09 19:15:00,7.0,0.0,0.1428571428571428,0.3685448204313285
102804,2024-05-06 18:30:00,1.0,0.0,0.0,0.8333333333333334
102806,2024-07-08 21:46:00,5.0,0.0,0.2,0.8333333333333333
102813,2024-10-14 13:50:00,16.0,0.12499999999999997,0.24999999999999994,0.46482910619427403
102822,2024-10-10 16:33:00,16.0,0.0,0.12499999999999997,0.36905561161481976
102823,2024-09-20 15:35:00,10.0,0.0,0.1,0.3711878303794139
102824,2024-08-04 22:45:00,11.0,0.0,0.18181818181818182,0.45486523280640917
102826,2024-08-06 17:47:00,1.0,0.0,0.0,0.004968944099378882
102830,2024-09-27 17:00:00,5.0,0.0,0.0,0.21045456734554838
102839,2024-08-26 17:30:00,2.0,0.0,0.5,0.010307131702238397
102840,2024-10-20 14:40:00,151.0,0.07284768211920527,0.31125827814569534,0.258857429439157
102844,2023-12-02 19:40:00,1.0,0.0,1.0,0.15789473684210525
102846,2024-09-15 22:35:00,3.0,0.0,0.0,0.6988636363636364
102867,2024-10-15 18:30:00,177.0,0.08474576271186438,0.32203389830508466,0.1939162894640207
102870,2024-10-20 15:20:00,6.0,0.3333333333333333,0.5,0.2636190476190476
102879,2024-10-21 14:07:00,9.0,0.1111111111111111,0.3333333333333333,0.11897364312396001
102880,2024-07-06 17:35:00,1.0,0.0,0.0,1.0
102881,2024-09-06 18:50:00,12.0,0.16666666666666666,0.25,0.2244612099311588
102886,2024-10-18 17:20:00,4.0,0.0,0.25,0.08719977216649587
102892,2024-07-25 17:45:00,4.0,0.25,0.25,0.4769811633889304
102894,2024-10-21 14:07:00,2.0,0.0,0.0,0.32118725868725867
102899,2024-10-25 13:41:00,33.0,0.06060606060606061,0.2727272727272727,0.2960714594907074
102900,2024-05-06 18:30:00,1.0,0.0,0.0,0.6666666666666666
102906,2024-04-01 17:18:00,1.0,0.0,0.0,0.8333333333333334
102907,2024-10-22 14:35:00,6.0,0.0,0.16666666666666666,0.30221309033113875
102909,2024-05-28 17:10:00,3.0,0.0,0.0,0.7375661375661376
102914,2024-10-16 15:08:00,19.0,0.1578947368421052,0.47368421052631576,0.43942599708170943
102918,2024-08-11 17:18:00,6.0,0.0,0.0,0.4356481481481482
102919,2024-05-08 19:50:00,4.0,0.0,0.0,0.7327380952380953
102921,2024-06-02 18:10:00,1.0,0.0,0.0,0.8333333333333334
102929,2024-10-07 16:23:00,9.0,0.0,0.0,0.4519275200386448
102938,2024-10-21 14:07:00,3.0,0.0,0.0,0.40350640350640354
102950,2024-10-05 15:25:00,3.0,0.0,0.0,0.14559211862685356
102961,2024-03-01 17:45:00,2.0,0.5,0.5,0.31118881118881114
102966,2024-06-14 20:20:00,2.0,0.0,0.5,0.5238095238095238
102979,2024-10-16 17:30:00,2.0,0.0,0.5,0.015129962498383507
102980,2024-08-31 17:45:00,1.0,0.0,0.0,0.010054844606946984
102985,2024-06-12 18:20:00,10.0,0.1,0.5,0.4395238095238095
102986,2024-10-07 16:23:00,3.0,0.0,0.0,0.013550413791282342
102988,2024-10-19 22:25:00,7.0,0.2857142857142857,0.2857142857142857,0.10470779220779218
102989,2024-10-22 14:35:00,15.0,0.06666666666666664,0.26666666666666655,0.462106399019204
102990,2024-06-18 14:15:00,4.0,0.0,0.25,0.7512626262626263
102991,2024-10-09 13:45:00,7.0,0.0,0.28571428571428564,0.1495078968339937
102995,2024-09-21 20:01:00,1.0,0.0,0.0,0.23076923076923078
102996,2024-10-21 17:35:00,34.0,0.02941176470588235,0.14705882352941174,0.2675347858865098
