RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds,ForecastFractionalOdds,ForecastDecimalOdds,DaysSinceLastRun,FormFigures,PrizeMoney,PrizeMoneyValue,CardOfficialRating,CardRacingPostRating,CardTopSpeedRating,OwnerId,OwnerName,SireName,SireCountry,DamName,HeadgearFirstTime,GeldingFirstTime,WindSurgery,TrainerRtf,JockeyAllowanceLbs,JockeyFirstTime,NewTrainerRacesCount,CountryOfOrigin
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,5870126,Kiss Me My Love,91867,Kevin Stott,32385,Roger Fell,4,,4,3,9-11,155,8/1,9,67,,,CompletedRace,5,2,7.25,00:01:43.3825000,103.3825,9/1,10,26,193013,"£4,711",4711,67,76,60,372025,Nextgen Racing Club,Invincible Spirit,IRE,Love Street,False,False,,25,,True,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,7847667,Thornaby Annie,102773,Jack Nicholls,33638,Adrian Nicholls,3,h,6,13,9-4,148,22/1,23,68,,,CompletedRace,6,0.75,8,00:01:43.5700000,103.57,16/1,17,34,221727,"£4,711",4711,68,76,70,360182,Ingleby Boodstock & The Fallen Angels,Galileo Gold,GB,Vardiyna,False,False,,33,3,False,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,1523017,Garden Oasis,78223,David Allan,10152,Tim Easterby,11,b,1,8,10-0,160,9/2,5.5,70,,,CompletedRace,7,2,10,00:01:44.0700000,104.07,9/2,5.5,17,854233,"£4,711",4711,70,81,60,253106,T A Scothern & Partner,Excelebration,IRE,Queen Arabella,False,False,,42,,False,,GB
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,7355918,Paroda Diva,81166,Andrew Mullen,19966,Patrick Neville,3,p,9,11,9-4,148,16/1,17,65,,,CompletedRace,8,0.75,10.75,00:01:44.2575000,104.2575,10/1,11,22,746126,"£4,711",4711,65,76,60,316639,MPS Racing & Partners,Magna Grecia,IRE,Mango Diva,False,False,,40,,False,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,6087987,Donna Nook,82231,Daniel Tudhope,22839,David O'Meara,4,tv,2,5,10-0,160,7/2F,4.5,70,,,CompletedRace,9,3.75,14.5,00:01:45.1950000,105.195,7/2,4.5,18,414443,"£4,711",4711,70,82,72,221690,M J Macleod,Bated Breath,GB,Rostova,False,False,,47,,False,,GB
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,5327074,Bellasio,97584,Oliver Stammers,15158,Grant Tuer,5,,5,1,9-8,152,15/2,8.5,64,,,CompletedRace,10,2.5,17,00:01:45.8200000,105.82,12/1,13,42,655210,"£4,711",4711,64,77,62,285634,Ng Racing,Belardo,IRE,Aisling Ghear,False,False,,55,,False,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,4409382,Penny Ghent,102867,Rhys Elliott,38344,Simon Whitaker,6,b,13,2,8-11,139,25/1,26,58,,,CompletedRace,11,5,22,00:01:47.0700000,107.07,10/1,11,34,011383,"£4,711",4711,58,76,62,152527,Andrew Sparks,Pastoral Pursuits,GB,Velvet Band,False,False,,50,5,False,,GB
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,7436311,G'Emmethegreenlite,81371,Dale Swift,34145,Seb Spencer,3,t,11,12,9-4,148,100/1,101,65,,,CompletedRace,12,5.5,27.5,00:01:48.4450000,108.445,33/1,34,13,447-09,"£4,711",4711,65,73,9,368749,Chalkstone Racing,Blue Point,IRE,Cralegre,False,False,,29,,False,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,7475650,Hopeful Joy,92735,Jack Garritty,28876,Mark Walford,4,,7,4,9-7,151,16/1,17,63,,,CompletedRace,13,8,35.5,00:01:50.4450000,110.445,14/1,15,57,23-795,"£4,711",4711,63,75,67,154790,Ms M Austerfield,Mehmas,IRE,Joyful Hope,False,False,,42,,False,,GB
925815,Wakeman Stayers Handicap,49,Ripon,09/01/2026 17:18:00,Other,Class 6,,0-65,3yo+,None,2m,16,3217,3520,Soft,Turf,3558268,Zimmerman,78223,David Allan,10152,Tim Easterby,7,tp,2,5,10-0,160,15/8,2.875,61,,,CompletedRace,1,0,0,00:03:39.2100000,219.21,5/1,6,85,8-6236,"£3,664",3664,61,67,52,357059,The Zimmerman Syndicate,Poet's Voice,GB,Cresta Gold,False,False,,42,,False,,GB
925815,Wakeman Stayers Handicap,49,Ripon,09/01/2026 17:18:00,Other,Class 6,,0-65,3yo+,None,2m,16,3217,3520,Soft,Turf,3095507,Bollin Neil,103498,Jake Dickson,10152,Tim Easterby,10,tp,3,2,9-7,151,18/1,19,59,,,CompletedRace,2,4.5,4.5,00:03:40.3350000,220.335,14/1,15,,02115-,"£3,664",3664,59,65,52,300788,Mrs S J Easterby,Haafhd,GB,Bollin Nellie,False,False,,42,5,False,,GB
925815,Wakeman Stayers Handicap,49,Ripon,09/01/2026 17:18:00,Other,Class 6,,0-65,3yo+,None,2m,16,3217,3520,Soft,Turf,2832949,Dereham,105049,Molly Keegan-Price,9440,John Berry,10,,4,4,8-12,140,9/1,10,52,,,CompletedRace,3,2.25,6.75,00:03:40.8975000,220.8975,6/1,7,24,3P-434,"£3,664",3664,52,66,40,280804,Emma Berry,Sir Percy,GB,Desiree,False,False,,100,7,False,,GB
