RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds,ForecastFractionalOdds,ForecastDecimalOdds,DaysSinceLastRun,FormFigures,PrizeMoney,PrizeMoneyValue,CardOfficialRating,CardRacingPostRating,CardTopSpeedRating,OwnerId,OwnerName,SireName,SireCountry,DamName,HeadgearFirstTime,GeldingFirstTime,WindSurgery,TrainerRtf,JockeyAllowanceLbs,JockeyFirstTime,NewTrainerRacesCount,CountryOfOrigin,Spotlight
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,5826649,Forceonmyown right,101603,Joshua Halford right,18145,Gordon Elliott right,7,p,13,,10-6,166,33/1,34,107,,,CompletedRace,12,8.5,72.5,00:06:24.4000000,384.4,20/1,21,110,63458-,"€10,308",10308,107,124,115,228908,Around The Fire Syndicate,Workforce,GB,Mise En Place,False,False,,37,7,False,,IRE,"Point-to-point and bumper winner; 0-5 hurdling, unconvincing upped in trip (2m7f) at Clonmel when last seen in April."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,8881567,Mento right,102354,Josh Williamson right,4406,Thomas Cooper right,4,,15,,10-4,164,28/1,29,109,,,CompletedRace,13,12,84.5,00:06:26.8000000,386.8,16/1,17,6,70-16,"€10,308",10308,109,120,66,271391,Paul Byrne,Karaktar,IRE,Loin De Toi,False,False,,67,5,True,,FR,Lightly-raced 4yo ran twice in bumpers before debut hurdles win in 2m3f Kilbeggan maiden in May (good-to-yielding); soon beaten in good-class 2m1f novice here on Monday and now takes a big step up in trip for handicap debut.
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,3290532,Rocky's Howya right,83386,Mr D L Queally right,7988,Declan Queally right,10,tv,6,,11-8,184,10/1,11,116,,,CompletedRace,14,11,95.5,00:06:29,389,8/1,9,27,1P-101,"€10,308",10308,116,132,81,199195,Mrs Margaret C Kiely,Ask,GB,It's My Choice,False,False,,57,,False,,IRE,"Has been making hay in claiming hurdles this year and has won five of his last seven starts, most recently over this trip at Roscommon last month; front-runner back in handicap company now and interesting to see if he can be as competitive off what appears a high enough mark."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,2201739,Pat Coyne right,102830,Mr S P Queally right,4259,John Queally right,12,,23,,9-9,153,100/1,101,96,,,PulledUp,0,0,0,00:06:09.9000000,369.9,,,,,,,,,,,,,,,,,,,,,,,
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,4217545,Pinot Rouge right,99321,Conor Rabbitt right,34491,Jessica Bedi right,8,p,5,,11-6,182,28/1,29,117,,,PulledUp,0,0,0,00:06:09.9000000,369.9,12/1,13,50,5F4-72,"€10,308",10308,117,125,101,338940,Ms M Bourke-Siggins,Vendangeur,IRE,Moanbaun Lady,False,False,,33,3,False,1,IRE,Both wins in Britain came at around this trip on easy ground; best effort for some time on latest when front-running second in 3m Hexham handicap in June for Susan Corbett; debuts for new trainer who had a good second on the flat here on Wednesday.
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,5098065,Wild Mandate right,97308,Shane O'Callaghan right,19629,Mark Michael McNiff right,7,tb,21,,10-0,160,18/1,19,97,,,PulledUp,0,0,0,00:06:09.9000000,369.9,,,,,,,,,,,,,,,,,,,,,,,
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,3265169,Tullyveery Lad right,92335,Donagh Meyler right,35318,R P Cody right,10,b,14,,10-12,172,33/1,34,106,,,UnseatedRider,0,0,0,00:06:09.9000000,369.9,10/1,11,27,38-502,"€10,308",10308,106,128,67,309271,Pat Tennyson & N P Morrissey & Raymond Micheal Cody,Famous Name,GB,Toye Native,False,False,,57,,False,,IRE,"5-40 under rules, three of those have come in chases, the latest at Tramore last summer (2m6f, good); yet to hit form this year although recent 9l second to Rocky's Howya in 3m Roscommon claiming hurdle was a step in the right direction and enjoys an 8lb pull in the weights with that rival back in handicap company."
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,6701916,Jukebox Johnny right,96391,Darragh O'Keeffe right,1249,Henry De Bromhead right,6,tp,14,,11-4,180,9/2,5.5,102,,,CompletedRace,1,0,0,00:05:50.8000000,350.8,11/2,6.5,73,45P7-2,"€10,013",10013,102,112,87,331587,Anthony N Durkan & B M Durkan,Jukebox Jury,IRE,Belle Fortune,False,False,,59,,False,,IRE,"Not much as a hurdler, but was second in sole point and again on chase debut over this trip in Limerick handicap where tongue-tie did him no harm; top yard and rider, and can improve again."
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,5784874,Drop A Threat right,87524,Danny Mullins right,1475,W P Mullins right,7,t,11,,11-6,182,6/1,7,104,,,CompletedRace,2,4,4,00:05:51.6000000,351.6,10/1,11,5,4-0P56,"€10,013",10013,104,113,91,113523,Gigginstown House Stud,Triple Threat,FR,Lola Drop,False,False,,67,,False,,IRE,"A lot of Gigginstown's have been taking flight from Mullins' yard lately, and this modest performer will probably be on his way to Doncaster sales, rather than Elliott's, before long; did plug away over 2m2f when sixth of 20 here on Tuesday."
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,7499336,Mistyburn right,93137,Simon Torrens right,13570,P J Rothwell right,6,tp,18,,10-3,163,33/1,34,87,,,CompletedRace,3,2.75,6.75,00:05:52.1500000,352.15,14/1,15,27,731-66,"€10,013",10013,87,111,86,361153,Nice Little Earner Syndicate,Policy Maker,IRE,Queen Althea,False,False,,48,,True,,IRE,Point and 3m hurdles winner was around 20l off Le Grand Vert on handicap chase debut at Punchestown (3m1f); still early days for him in this discipline.
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,5867556,Ira Hayes right,103298,Michael Kenneally right,14751,John C McConnell right,7,v,2,,11-9,185,11/2,6.5,112,,,CompletedRace,4,2.5,9.25,00:05:52.6500000,352.65,18/1,19,56,301-25,"€10,013",10013,112,120,99,351865,Ira Hayes Partnership,Mahler,GB,Dangan Dawn,False,False,,46,5,True,,IRE,Lucky to win a Tramore beginners' but then ran well in Market Rasen handicap; lapped at Perth and back from a break here.
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,4201349,Soldante right,100873,Eoghan Finegan right,38077,Ciaran Murphy right,8,,1,,11-10,186,9/1,10,113,,,CompletedRace,5,4.5,13.75,00:05:53.5500000,353.55,15/2,8.5,6,43-313,"€10,013",10013,113,115,87,319935,P McCormack & David P McCormack & Sarah Glynn,Soldier Of Fortune,IRE,Dantes Firth,False,False,,56,5,False,,IRE,Generally runs at around 2m and won at Roscommon before running well in hurdle here on Monday; stamina for new trip is the imponderable.
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,2838107,Le Grand Vert right,99137,Mr O McGill right,17764,Noel C Kelly right,10,tp,10,,11-2,178,25/1,26,105,,,CompletedRace,6,1.5,15.25,00:05:53.8500000,353.85,14/1,15,21,P-412P,"€10,013",10013,105,120,105,337346,All Play & No Work Syndicate,Great Pretender,IRE,Eliga,False,False,,38,5,False,,FR,"Hard enough to predict but has won four handicap chases, latest over 3m1f at Punchestown in June; first visit to Galway and he's ground-versatile."
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,4908760,Prince Palace right,99225,Ross Sugrue right,13570,P J Rothwell right,8,b,8,,11-1,177,66/1,67,106,,,CompletedRace,7,2,17.25,00:05:54.2500000,354.25,20/1,21,9,PP9-05,"€10,013",10013,106,119,87,337532,Thethreeofus Syndicate,Turgeon,USA,Aspetta E Spera,False,False,,48,7,False,,FR,Landed a nice pot on heavy ground at Navan over a year ago but form has deteriorated since; long way off Golden Temple last time.
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,4027277,Sammy Smart right,88924,James Smith right,19282,Thomas Gibney right,10,,6,,11-5,181,33/1,34,108,,,CompletedRace,8,3.5,20.75,00:05:54.9500000,354.95,22/1,23,33,43-8UP,"€10,013",10013,108,119,48,373043,MJD Partnership,Kalanisi,IRE,Fancy Fisher,False,False,,43,5,False,,GB,"Had decent form in the winter, and stays 3m, but has been struggling of late; place chance if he bounces back, and yard has had three run well here this week."
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,5727952,Journey So Far right,88732,Keith Donoghue right,17836,Gavin Cromwell right,6,h,3,,12-0,192,11/1,12,112,,,CompletedRace,9,19,39.75,00:05:58.7500000,358.75,5/1,6,65,078-61,"€10,013",10013,112,121,64,20887,John P McManus,Jet Away,GB,Smiths Lady,False,False,,29,,False,,IRE,Dotted up from the front in a Tramore beginners' over this trip and has been freshened up since.
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,4440459,Smallcraftwarning right,96526,Bryan Carver right,8256,John Patrick Ryan right,9,t,17,,11-2,178,16/1,17,100,,,CompletedRace,10,44,83.75,00:06:07.5500000,367.55,14/1,15,17,838204,"€10,013",10013,100,118,35,358128,We Win Farming Syndicate,Gale Force Ten,GB,Scrumptious,False,False,,25,,True,,IRE,"Mixes it between chasing and hurdling; consistent last year including C&D second over fences; a little less predictable lately, but couple of good runs at Limerick and jockey booking is noted."
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,6573396,Kings Jet right,102907,Mr T A Halford right,13964,C W J Farrell right,6,,4,,11-5,181,9/1,10,110,,,CompletedRace,11,14,97.75,00:06:10.3500000,370.35,25/1,26,30,162P-U,"€10,013",10013,110,115,41,364386,Nice But Syndicate,Jet Away,GB,Court Gamble,False,False,,,7,False,,IRE,Hunter chase winner only made it to the first when 25s for handicap debut at Wexford.
925576,Kinlay Hostel Handicap Chase,183,Galway (IRE),08/02/2026 14:55:00,SteepleChase,,,,4yo+,None,2m6½f,22.5,4524,4950,Good,Turf,2989560,Riggs right,91248,Liam McKenna right,7015,P Cluskey right,11,b,13,,11-2,178,80/1,81,103,,,PulledUp,0,0,0,00:05:50.8000000,350.8,40/1,41,33,68-P8P,"€10,013",10013,103,114,,356581,Paul M Butler & James Patrick Byrne,Mahler,GB,Cousin Kizzy,False,False,,,3,False,,IRE,"Dual winner over farther last summer, but old boy is hard to recommend on recent evidence."
