TrainerId,TrainerNumberOfPriorRaces,TrainerWinPercentage,TrainerTop3Percentage,TrainerAvgRelFinishingPosition
9725,14.0,0.07142857142857142,0.21428571428571427,0.553408991801849
9746,48.0,0.08333333333333333,0.5,0.465140645355639
9759,4.0,0.25,0.25,0.623015873015873
9781,105.0,0.14285714285714285,0.38095238095238093,0.49384002654347636
9796,86.0,0.05813953488372093,0.2674418604651163,0.6362578890178068
9801,55.0,0.16363636363636364,0.4727272727272727,0.47861340679522496
9803,62.0,0.016129032258064516,0.08064516129032258,0.6766094222781779
9876,35.0,0.08571428571428572,0.2,0.5117514464993457
9983,4.0,0.0,0.75,0.50625
10007,31.0,0.03225806451612903,0.2903225806451613,0.6393701280798056
10030,1.0,0.0,0.0,0.875
10076,30.0,0.16666666666666666,0.4666666666666667,0.34690577668518846
10122,9.0,0.2222222222222222,0.5555555555555556,0.3183862433862434
10132,6.0,0.0,0.3333333333333333,0.39351851851851843
10152,1059.0,0.08970727101038715,0.33899905571293676,0.5383643398891222
10157,144.0,0.125,0.4652777777777778,0.4499578050389272
10210,68.0,0.04411764705882353,0.16176470588235295,0.5715547800431018
10241,185.0,0.07027027027027026,0.2972972972972973,0.5587034287034287
10257,49.0,0.12244897959183673,0.4489795918367347,0.4922915070123953
10308,93.0,0.08602150537634409,0.2903225806451613,0.5760162344415316
10363,335.0,0.08656716417910448,0.3074626865671642,0.5708298539774673
10508,13.0,0.07692307692307693,0.5384615384615384,0.4167947751092547
10578,28.0,0.0,0.25,0.5049052920763447
10588,404.0,0.11633663366336634,0.3613861386138614,0.46126885256611605
10593,14.0,0.07142857142857142,0.5,0.32350823779395205
10594,3.0,0.0,1.0,0.43611111111111106
10630,13.0,0.07692307692307693,0.38461538461538464,0.5146236242390089
10641,7.0,0.14285714285714285,0.42857142857142855,0.46051805337519625
10656,1.0,0.0,0.0,0.8
10663,71.0,0.056338028169014086,0.22535211267605634,0.6211381485658729
10668,1.0,0.0,0.0,0.5
