RaceId,RaceName,CourseId,CourseName,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,2687080,Refuge,85793,William Buick,38543,Michael & David Easterby,5,t,3,12,9-9,153,SP,,55,68,42
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3092792,Sunset Glow,87290,Sam James,15158,Grant Tuer,4,,4,2,9-9,153,SP,,55,64,
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3297871,The Gloaming,81166,Andrew Mullen,21516,Iain Jardine,4,,5,8,9-8,152,SP,,54,68,63
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,869645,Major Pusey,92565,Rowan Scott,17398,Gary Harrison,10,,7,5,9-7,151,SP,,53,67,63
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3095711,Mokaman,97584,Oliver Stammers,15158,Grant Tuer,4,b,8,6,9-6,150,SP,,52,70,62
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3092767,Dan De Light,78223,David Allan,10152,Tim Easterby,4,,9,11,9-5,149,SP,,51,69,50
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3528367,Glen Lomond,79371,Paul Mulrennan,7795,Jim Goldie,4,p,10,7,9-0,144,SP,,46,55,42
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,2770111,Summer Heights,92732,Cam Hardie,7795,Jim Goldie,5,b,11,3,9-0,144,SP,,46,51,37
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3625162,Sporty Billy,79115,Paddy Mathers,10241,R Mike Smith,3,,12,1,8-8,136,SP,,46,57,
813792,bet365 Summer Social Raceday Restricted Maiden Stakes (For Horses In Band D),7,Brighton,Other,Class 6,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,4213783,Confederation,13699,Neil Callan,26177,John Butler,2,,1,1,9-7,151,SP,,73,79,65
813792,bet365 Summer Social Raceday Restricted Maiden Stakes (For Horses In Band D),7,Brighton,Other,Class 6,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,4303337,Beau Roc,100350,Saffie Osborne,36211,George Boughey,2,,2,3,9-2,146,SP,,,75,
813792,bet365 Summer Social Raceday Restricted Maiden Stakes (For Horses In Band D),7,Brighton,Other,Class 6,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,4362956,Furnicoe,84857,Luke Morris,6964,Gay Kelleway,2,,3,2,9-2,146,SP,,,57,41
813792,bet365 Summer Social Raceday Restricted Maiden Stakes (For Horses In Band D),7,Brighton,Other,Class 6,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,4175653,Vim And Vigour,98254,Rhys Clutterbuck,24700,Joseph Tuite,2,,4,4,9-2,146,SP,,,47,28
813790,bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo+,None,1m,8,1608,1760,Good To Firm,Turf,3164281,Kratos,94855,Cameron Noble,24890,Roger Varian,4,b,1,3,10-1,161,SP,,65,71,46
813790,bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo+,None,1m,8,1608,1760,Good To Firm,Turf,3123852,River Wharfe,98519,Cieren Fallon,9714,Tony Carroll,4,p,2,6,10-0,160,SP,,64,71,52
813790,bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo+,None,1m,8,1608,1760,Good To Firm,Turf,1052578,De Vegas Kid,84857,Luke Morris,9714,Tony Carroll,8,,3,2,10-0,160,SP,,64,74,57
813790,bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo+,None,1m,8,1608,1760,Good To Firm,Turf,2869400,Dawn View,98301,Marco Ghiani,8543,Stuart Williams,5,ht,4,5,9-11,155,SP,,61,71,49
813790,bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo+,None,1m,8,1608,1760,Good To Firm,Turf,3715498,Brynteg,100350,Saffie Osborne,13955,Jamie Osborne,3,,5,4,9-6,150,SP,,66,74,50
813790,bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo+,None,1m,8,1608,1760,Good To Firm,Turf,3550657,Marsh Benham,14629,Pat Cosgrave,20005,George Baker,3,,6,1,9-4,148,SP,,64,71,54
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,3284495,Surrey Princess,86570,Trevor Whelan,20005,George Baker,4,h,1,3,9-10,154,SP,,58,70,48
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,1797871,Toybox,93654,Tyler Saunders,12601,Jonathan Portman,6,,2,7,9-7,151,SP,,55,71,48
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,1529253,Regulator,91857,Daniel Muscutt,27500,Alexandra Dunn,7,t,3,5,9-5,149,SP,,53,67,59
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,3438110,Retrouvailles,94575,George Wood,27045,Mrs Ilka Gansera-Leveque,4,p,5,6,9-0,144,SP,,48,69,62
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,3096282,On The Nose,98254,Rhys Clutterbuck,7833,Gary Moore,4,b,6,1,8-13,141,SP,,47,69,48
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,3549411,Marcie,98519,Cieren Fallon,28762,Steph Hollinshead,4,,7,4,8-13,141,SP,,47,64,34
813787,Bet Boost At bet365 Handicap,7,Brighton,Other,Class 6,,0-57,4yo+,None,1m2f,10,2010,2200,Good To Firm,Turf,1573750,Global Style,84857,Luke Morris,9714,Tony Carroll,7,,8,2,8-13,141,SP,,47,68,39
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3781893,Mrembo,92806,Hector Crouch,12601,Jonathan Portman,3,,1,5,9-10,154,SP,,61,71,56
