FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore,WinProbability,FieldSize,RaceClass
2026-05-07,AbstainWrapperAlgorithm,919593,5025141,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,6,13.0,,0.15518641,6,
2026-05-07,AbstainWrapperAlgorithm,919777,9033928,Longchamp (FR),Turf,Very Soft,Other,1608,1,1.4,,0.314255,6,
2026-05-07,AbstainWrapperAlgorithm,919777,7686921,Longchamp (FR),Turf,Very Soft,Other,1608,2,9.8,,0.13204244,6,
2026-05-07,AbstainWrapperAlgorithm,919777,8954015,Longchamp (FR),Turf,Very Soft,Other,1608,3,7.7,,0.2413693,6,
2026-05-07,AbstainWrapperAlgorithm,919777,7987989,Longchamp (FR),Turf,Very Soft,Other,1608,4,15.0,,0.19332837,6,
2026-05-07,AbstainWrapperAlgorithm,919777,8383882,Longchamp (FR),Turf,Very Soft,Other,1608,5,10.0,,0.25967246,6,
2026-05-07,AbstainWrapperAlgorithm,919777,8309186,Longchamp (FR),Turf,Very Soft,Other,1608,6,12.0,,0.10811355,6,
2026-05-07,AbstainWrapperGapAlgorithm,917470,7258540,Huntingdon,Turf,Good,Hurdle,4122,1,1.8,,0.43930602,2,Class 4
2026-05-07,AbstainWrapperGapAlgorithm,917470,6640436,Huntingdon,Turf,Good,Hurdle,4122,2,2.0,,0.6592319,2,Class 4
2026-05-07,AbstainWrapperGapAlgorithm,919593,4808610,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,1,8.5,,0.06230567,6,
2026-05-07,AbstainWrapperGapAlgorithm,919593,3984129,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,2,1.8,,0.10854697,6,
2026-05-07,AbstainWrapperGapAlgorithm,919593,5708524,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,3,7.0,,0.15675388,6,
2026-05-07,AbstainWrapperGapAlgorithm,919593,5864606,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,4,6.0,,0.23645939,6,
2026-05-07,AbstainWrapperGapAlgorithm,919593,5764648,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,5,17.0,,0.15262298,6,
2026-05-07,AbstainWrapperGapAlgorithm,919593,5025141,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,6,13.0,,0.15518641,6,
2026-05-07,AbstainWrapperGapAlgorithm,919777,9033928,Longchamp (FR),Turf,Very Soft,Other,1608,1,1.4,,0.314255,6,
2026-05-07,AbstainWrapperGapAlgorithm,919777,7686921,Longchamp (FR),Turf,Very Soft,Other,1608,2,9.8,,0.13204244,6,
2026-05-07,AbstainWrapperGapAlgorithm,919777,8954015,Longchamp (FR),Turf,Very Soft,Other,1608,3,7.7,,0.2413693,6,
2026-05-07,AbstainWrapperGapAlgorithm,919777,7987989,Longchamp (FR),Turf,Very Soft,Other,1608,4,15.0,,0.19332837,6,
2026-05-07,AbstainWrapperGapAlgorithm,919777,8383882,Longchamp (FR),Turf,Very Soft,Other,1608,5,10.0,,0.25967246,6,
